view,column,kept_for_ml,reason,dtype,non_null_pct,unique_values
lstm_temporal,scell1_rsrq,True,kept,float64,72.38972640982692,20409
lstm_temporal,scell1_sinr,True,kept,float64,72.41143991562751,22481
lstm_temporal,scell1_cqi,True,kept,float64,70.63403436937776,15
lstm_temporal,scell1_mcs,True,kept,float64,68.78838637632607,32
lstm_temporal,scell1_bler,True,kept,float64,68.79148830572616,15644
lstm_temporal,scell1_rank,False,missing,missing,,0
lstm_temporal,scell1_rb_count,True,kept,float64,68.79148830572616,100
lstm_temporal,best_neighbor_rsrp,True,kept,float64,99.82008809479497,14835
lstm_temporal,serving_minus_best_neighbor_rsrp,True,kept,float64,99.82008809479497,31925
lstm_temporal,ml_log1p_handover_execution_count_prev5s,False,constant or single-value feature,float64,100.0,1
lstm_temporal,ml_log1p_handover_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
lstm_temporal,ml_log1p_rach_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
lstm_temporal,ml_log1p_ca_activation_change_count_prev10s,False,constant or single-value feature,float64,100.0,1
