id,Activity.Activity,Activity.Status,Activity.Tech,download_raw_start_utc,download_raw_end_utc,download_analysis_start_utc,download_analysis_end_utc,raw_duration_seconds,analysis_duration_seconds
542020041221088+20250827145611+Fiji-Nadi-LTE-DL-D!20250827145542,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 02:51:41.698000+00:00,2025-08-27 02:54:41.797000+00:00,2025-08-27 02:51:46.698000+00:00,2025-08-27 02:54:39.797000+00:00,180.099,173.099
542020041221088+20250827145831+Fiji-Nadi-LTE-DL-D!20250827145756,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 02:54:42.803000+00:00,2025-08-27 02:57:42.921000+00:00,2025-08-27 02:54:47.803000+00:00,2025-08-27 02:57:40.921000+00:00,180.118,173.118
542020041221088+20250827150151+Fiji-Nadi-LTE-DL-D!20250827150045,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 02:57:43.928000+00:00,2025-08-27 03:00:44.060000+00:00,2025-08-27 02:57:48.928000+00:00,2025-08-27 03:00:42.060000+00:00,180.132,173.132
542020041221088+20250827151132+Fiji-Nadi-LTE-DL-D!20250827151053,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 03:06:47.573000+00:00,2025-08-27 03:09:47.694000+00:00,2025-08-27 03:06:52.573000+00:00,2025-08-27 03:09:45.694000+00:00,180.121,173.121
542020041221088+20250827151332+Fiji-Nadi-LTE-DL-D!20250827151309,HTTP/HTTPS Download,Failed,LTE CA3,2025-08-27 03:09:48.699000+00:00,2025-08-27 03:12:48.830000+00:00,2025-08-27 03:09:53.699000+00:00,2025-08-27 03:12:46.830000+00:00,180.131,173.131
542020041221088+20250827151812+Fiji-Nadi-LTE-DL-D!20250827151738,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 03:12:49.905000+00:00,2025-08-27 03:15:50.010000+00:00,2025-08-27 03:12:54.905000+00:00,2025-08-27 03:15:48.010000+00:00,180.105,173.105
542020041221088+20250827152052+Fiji-Nadi-LTE-DL-D!20250827151954,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 03:15:50.053000+00:00,2025-08-27 03:18:50.195000+00:00,2025-08-27 03:15:55.053000+00:00,2025-08-27 03:18:48.195000+00:00,180.142,173.142
542020041221088+20250827152532+Fiji-Nadi-LTE-DL-D!20250827152209,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 03:18:51.226000+00:00,2025-08-27 03:21:51.336000+00:00,2025-08-27 03:18:56.226000+00:00,2025-08-27 03:21:49.336000+00:00,180.11,173.11
542020041221088+20250827152712+Fiji-Nadi-LTE-DL-D!20250827152634,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 03:21:52.343000+00:00,2025-08-27 03:24:52.450000+00:00,2025-08-27 03:21:57.343000+00:00,2025-08-27 03:24:50.450000+00:00,180.107,173.107
542020041221088+20250827152912+Fiji-Nadi-LTE-DL-D!20250827152850,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 03:24:53.453000+00:00,2025-08-27 03:27:53.578000+00:00,2025-08-27 03:24:58.453000+00:00,2025-08-27 03:27:51.578000+00:00,180.125,173.125
542020041221088+20250827153152+Fiji-Nadi-LTE-DL-D!20250827153105,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 03:27:54.569000+00:00,2025-08-27 03:30:54.683000+00:00,2025-08-27 03:27:59.569000+00:00,2025-08-27 03:30:52.683000+00:00,180.114,173.114
